name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,capital_cost
Dinorwig,1741.1586206896552,Pumped Storage Hydroelectric,0,18.44883688916367,0.865,0.865,32122.35139126464,Deeside,38700.0
Ffestiniog,362.7413793103448,Pumped Storage Hydroelectric,0,13.62467274249098,0.85,0.85,4942.232583263237,Deeside,38700.0
Cruachan,2316.5405405405404,Pumped Storage Hydroelectric,0,56.530655534285025,0.865,0.865,130955.55532850372,Errochty,38700.0
Foyers,1579.4594594594596,Pumped Storage Hydroelectric,0,73.57113077714338,0.865,0.865,116202.61844908808,Beauly,38700.0
Beauly Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Beauly,51001.44
Peterhead Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Peterhead,51001.44
Errochty Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Errochty,51001.44
Denny/Bonnybridge Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Denny/Bonnybridge,51001.44
Neilston Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Neilston,51001.44
Strathaven Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Strathaven,51001.44
Torness Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Torness,51001.44
Eccles Battery,511.6791599137587,Battery,0,1.7983367396912249,0.95,0.95,920.1714322072536,Eccles,51001.44
Harker Battery,1068.289990554615,Battery,0,1.7983367396912249,0.95,0.95,1921.145138658756,Harker,51001.44
Stella West Battery,1068.289990554615,Battery,0,1.7983367396912249,0.95,0.95,1921.145138658756,Stella West,51001.44
Penwortham Battery,1068.289990554615,Battery,0,1.7983367396912249,0.95,0.95,1921.145138658756,Penwortham,51001.44
Deeside Battery,1068.289990554615,Battery,0,1.7983367396912249,0.95,0.95,1921.145138658756,Deeside,51001.44
Daines Battery,1068.289990554615,Battery,0,1.7983367396912249,0.95,0.95,1921.145138658756,Daines,51001.44
